Date,Basket,Basket_Marcap,Foreign_Net_Est_Value,Institution_Net_Est_Value
2026-06-01,금융,251484267012750.0,68931201000.0,-4743339250.0
2026-06-01,반도체,3724466922687000.0,-1785888302000.0,3369762199000.0
2026-06-01,생활소비재,75288339655850.0,68714937000.0,-62809402700.0
2026-06-02,금융,270422586571550.0,66100701050.0,11671346450.0
2026-06-02,반도체,3789561019584000.0,-4954576896000.0,1326070061500.0
2026-06-02,생활소비재,73391149898050.0,19011714150.0,-19444353850.0
2026-06-04,금융,268086847098400.0,10778763600.0,69534633300.0
2026-06-04,반도체,3692756965482000.0,-5090968530000.0,1405799520000.0
2026-06-04,생활소비재,73152514230500.0,6663124800.0,-12839221500.0
2026-06-05,금융,270788360917150.0,74568311100.0,29808965450.0
2026-06-05,반도체,3398719557582000.0,-2651437876000.0,-1328270022000.0
2026-06-05,생활소비재,72360436782000.0,-26005725300.0,7221302400.0
2026-06-08,금융,245840692940050.0,-43059078800.0,-79905437900.0
2026-06-08,반도체,3089549548179000.0,-642700275000.0,-1327842246000.0
2026-06-08,생활소비재,69402817035200.0,9091458400.0,3549512600.0
2026-06-09,금융,252599835776350.0,-44915509250.0,99615399100.0
2026-06-09,반도체,3461137450251000.0,-1900923181000.0,2462172594000.0
2026-06-09,생활소비재,72382458653500.0,-18102558900.0,46018586200.0
2026-06-10,금융,245722601773500.0,-18497238300.0,27385200000.0
2026-06-10,반도체,3228113722440000.0,-1722649355000.0,-2300425006500.0
2026-06-10,생활소비재,73048165932100.0,11070492100.0,24355687300.0
2026-06-11,금융,243065089755850.0,-6720260550.0,30434159100.0
2026-06-11,반도체,3245424972657000.0,712129181000.0,-2704683115000.0
2026-06-11,생활소비재,73028504493600.0,-88308794200.0,108311349700.0
2026-06-12,금융,255000095896600.0,76678472100.0,78622726450.0
2026-06-12,반도체,3417734935830000.0,2161794685000.0,481757702500.0
2026-06-12,생활소비재,73592675388850.0,3961978750.0,-21422170350.0
2026-06-15,금융,272110813706000.0,133445368200.0,7952629150.0
2026-06-15,반도체,3600858902016000.0,-203979676000.0,557246433000.0
2026-06-15,생활소비재,76880395696300.0,-3077904700.0,31292264200.0
2026-06-16,금융,276750213252600.0,54936025400.0,38414035650.0
2026-06-16,반도체,3702930595974000.0,828795815000.0,857114576000.0
2026-06-16,생활소비재,74779484285700.0,2544694800.0,-63532841200.0
2026-06-17,금융,272798247888550.0,-21043426150.0,-18724026000.0
2026-06-17,반도체,3822458199837000.0,-504184652000.0,1253358190500.0
2026-06-17,생활소비재,75780005188300.0,-15236554200.0,4520910800.0
2026-06-18,금융,274676365160650.0,58698668400.0,-50496085800.0
2026-06-18,반도체,4032881845425000.0,947076562500.0,807963390000.0
2026-06-18,생활소비재,72727275229050.0,-32089898600.0,-89918326900.0
2026-06-19,금융,277221964821150.0,41471273150.0,-47215953850.0
2026-06-19,반도체,4039491964092000.0,-1752527428000.0,227752440000.0
2026-06-19,생활소비재,71875987487200.0,21608867000.0,-62020825700.0
2026-06-22,금융,263205873631050.0,16650708700.0,-77888675900.0
2026-06-22,반도체,4147037691363000.0,-1915552390500.0,1109814352500.0
2026-06-22,생활소비재,70466062376700.0,23628176800.0,-20723110000.0
2026-06-23,금융,255345132150750.0,30549101100.0,-25078420850.0
2026-06-23,반도체,3633300911055000.0,-3092651835000.0,-3715140310000.0
