Period,Basket,Start_Date,End_Date,Start_Marcap,End_Marcap,Marcap_Change,Marcap_Change_Pct,Foreign_Net_Est_Value_Sum,Institution_Net_Est_Value_Sum,Start_KOSPI_Share_Pct,End_KOSPI_Share_Pct,KOSPI_Share_Change_Pp
6월,금융,2026-06-01,2026-06-30,251484267012750,250493156981700,-991110031050,-0.3941041890305419,416830972460,77622047540,3.490650846854558,3.6148593748508455,0.12420852799628745
6월,반도체,2026-06-01,2026-06-30,3724466922687000,3841318322322000,116851399635000,3.13739931272361,-40315826532500,7243203962500,51.69632984277318,55.433951635838284,3.7376217930651023
6월,생활소비재,2026-06-01,2026-06-30,75288339655850,70413842396000,-4874497259850,-6.474438514824177,-88985351750,74024891000,1.0450168899219547,1.0161400869048327,-0.028876803017122032
7월,금융,2026-07-01,2026-07-31,248828398120550,244674895355550,-4153502765000,-1.6692237688190836,-429231274550,1152030238750,3.6670973892245335,4.49341034914142,0.8263129599168861
7월,반도체,2026-07-01,2026-07-31,3663172676616000,2789634017670000,-873538658946000,-23.846505094402637,-12522086857500,-1459759005000,53.985843497610695,51.2311258868635,-2.7547176107471927
7월,생활소비재,2026-07-01,2026-07-31,72157484585200,69315632339200,-2841852246000,-3.9384025958450364,217213330300,225275998850,1.0634177020550581,1.272969093366276,0.20955139131121792
8월(1~4일),금융,2026-08-03,2026-08-03,241079042421450,241079042421450,0,0.0,18721958450,-15809397800,4.667663938536868,4.667663938536868,0.0
8월(1~4일),반도체,2026-08-03,2026-08-03,2544865262571000,2544865262571000,0,0.0,-2668437534500,-1658383787000,49.27253607458712,49.27253607458712,0.0
8월(1~4일),생활소비재,2026-08-03,2026-08-03,69293833503300,69293833503300,0,0.0,-20817561200,7652449600,1.3416360234287756,1.3416360234287756,0.0
전체(6/1~8/4),금융,2026-06-01,2026-08-03,251484267012750,241079042421450,-10405224591300,-4.137525068624859,6321656360,1213842888490,3.490650846854558,4.667663938536868,1.1770130916823098
전체(6/1~8/4),반도체,2026-06-01,2026-08-03,3724466922687000,2544865262571000,-1179601660116000,-31.67169113331746,-55506350924500,4125061170500,51.69632984277318,49.27253607458712,-2.4237937681860586
전체(6/1~8/4),생활소비재,2026-06-01,2026-08-03,75288339655850,69293833503300,-5994506152550,-7.962064484289922,107410417350,306953339450,1.0450168899219547,1.3416360234287756,0.2966191335068209
