Period,Basket,Start_Date,End_Date,Start_Marcap,End_Marcap,Marcap_Change,Marcap_Change_Pct,Foreign_Net_Est_Value_Sum,Institution_Net_Est_Value_Sum
6월,금융,2026-06-01,2026-06-30,251484267012750,250493156981700,-991110031050,-0.3941041890305419,416830972460,77622047540
6월,반도체,2026-06-01,2026-06-30,3724466922687000,3841318322322000,116851399635000,3.13739931272361,-40315826532500,7243203962500
6월,생활소비재,2026-06-01,2026-06-30,75288339655850,70413842396000,-4874497259850,-6.474438514824177,-88985351750,74024891000
7월,금융,2026-07-01,2026-07-31,248828398120550,244674895355550,-4153502765000,-1.6692237688190836,-429231274550,1152030238750
7월,반도체,2026-07-01,2026-07-31,3663172676616000,2789634017670000,-873538658946000,-23.846505094402637,-12522086857500,-1459759005000
7월,생활소비재,2026-07-01,2026-07-31,72157484585200,69315632339200,-2841852246000,-3.9384025958450364,217213330300,225275998850
8월(1~5일),금융,2026-08-03,2026-08-05,241079042421450,243653726795500,2574684374050,1.0679834913019937,66500342250,-43998515650
8월(1~5일),반도체,2026-08-03,2026-08-05,2544865262571000,2656645802388000,111780539817000,4.392395206969479,-1908724544500,-3128889998000
8월(1~5일),생활소비재,2026-08-03,2026-08-05,69293833503300,71367945624100,2074112120800,2.9932131272564444,-38853133800,38260808600
전체(6/1~8/5),금융,2026-06-01,2026-08-05,251484267012750,243653726795500,-7830540217250,-3.113729662004261,54100040160,1185653770640
전체(6/1~8/5),반도체,2026-06-01,2026-08-05,3724466922687000,2656645802388000,-1067821120299000,-28.670441769653987,-54746637934500,2654554959500
전체(6/1~8/5),생활소비재,2026-06-01,2026-08-05,75288339655850,71367945624100,-3920394031750,-5.207172916377867,89374844750,337561698450
