Date,Code,Naver_Close,Institution_Net_Volume,Foreign_Net_Volume,Name,Stocks,Marcap,Close,Latest_Name,Latest_Stocks,Basket,Foreign_Net_Est_Value,Institution_Net_Est_Value
2026-06-01,024110,20050.0,-630181.0,758586.0,기업은행,797425869.0,15988388673450.0,20050.0,기업은행,797425869,금융,15209649300.0,-12635129050.0
2026-06-01,032830,410000.0,65234.0,21304.0,삼성생명,200000000.0,82000000000000.0,410000.0,삼성생명,200000000,금융,8734640000.0,26745940000.0
2026-06-01,055550,92600.0,-71609.0,126570.0,신한지주,474654361.0,43952993828600.0,92600.0,신한지주,469450239,금융,11720382000.0,-6630993400.0
2026-06-01,086790,113900.0,-1269.0,30017.0,하나금융지주,274367748.0,31250486497200.0,113900.0,하나금융지주,274367748,금융,3418936300.0,-144539100.0
2026-06-01,105560,152100.0,-34521.0,130134.0,KB금융,372850455.0,56710554205500.0,152100.0,KB금융,354687734,금융,19793381400.0,-5250644100.0
2026-06-01,316140,29400.0,-232244.0,341980.0,우리금융지주,734076320.0,21581843808000.0,29400.0,우리금융지주,728089682,금융,10054212000.0,-6827973600.0
2026-06-01,000660,2363000.0,859988.0,-729059.0,SK하이닉스,712702365.0,1684115688495000.0,2363000.0,SK하이닉스,730492365,반도체,-1722766417000.0,2032151644000.0
2026-06-01,005930,349000.0,3832695.0,-180865.0,삼성전자,5846278608.0,2040351234192000.0,349000.0,삼성전자,5846278608,반도체,-63121885000.0,1337610555000.0
2026-06-01,003230,1166000.0,-36720.0,22539.0,삼양식품,7533015.0,8783495490000.0,1166000.0,삼양식품,7533015,생활소비재,26280474000.0,-42815520000.0
2026-06-01,015760,38650.0,-218580.0,174596.0,한국전력,641964077.0,24811911576050.0,38650.0,한국전력,641964077,생활소비재,6748135400.0,-8448117000.0
2026-06-01,033780,185100.0,-51962.0,75131.0,KT&G,103810456.0,19215315405600.0,185100.0,KT&G,103810456,생활소비재,13906748100.0,-9618166200.0
2026-06-01,090430,111300.0,-102960.0,-66225.0,아모레퍼시픽,58492759.0,6510244076700.0,111300.0,아모레퍼시픽,58492759,생활소비재,-7370842500.0,-11459448000.0
2026-06-01,278470,426500.0,22349.0,68348.0,에이피알,37438155.0,15967373107500.0,426500.0,에이피알,37438155,생활소비재,29150422000.0,9531848500.0
2026-06-02,024110,20350.0,-265315.0,522817.0,기업은행,797425869.0,16227616434150.0,20350.0,기업은행,797425869,금융,10639325950.0,-5399160250.0
2026-06-02,032830,480000.0,8608.0,38686.0,삼성생명,200000000.0,96000000000000.0,480000.0,삼성생명,200000000,금융,18569280000.0,4131840000.0
2026-06-02,055550,96400.0,21061.0,113924.0,신한지주,474654361.0,45756680400400.0,96400.0,신한지주,469450239,금융,10982273600.0,2030280400.0
2026-06-02,086790,117000.0,51856.0,6284.0,하나금융지주,274367748.0,32101026516000.0,117000.0,하나금융지주,274367748,금융,735228000.0,6067152000.0
2026-06-02,105560,156600.0,41486.0,56539.0,KB금융,372850455.0,58388381253000.0,156600.0,KB금융,354687734,금융,8854007400.0,6496707600.0
2026-06-02,316140,29900.0,-55367.0,545839.0,우리금융지주,734076320.0,21948881968000.0,29900.0,우리금융지주,728089682,금융,16320586100.0,-1655473300.0
2026-06-02,000660,2360000.0,90158.0,-416517.0,SK하이닉스,712702365.0,1681977581400000.0,2360000.0,SK하이닉스,730492365,반도체,-982980120000.0,212772880000.0
2026-06-02,005930,360500.0,3088203.0,-11016912.0,삼성전자,5846278608.0,2107583438184000.0,360500.0,삼성전자,5846278608,반도체,-3971596776000.0,1113297181500.0
2026-06-02,003230,1140000.0,-12849.0,14562.0,삼양식품,7533015.0,8587637100000.0,1140000.0,삼양식품,7533015,생활소비재,16600680000.0,-14647860000.0
2026-06-02,015760,37750.0,-88017.0,205045.0,한국전력,641964077.0,24234143906750.0,37750.0,한국전력,641964077,생활소비재,7740448750.0,-3322641750.0
2026-06-02,033780,184600.0,-15181.0,18542.0,KT&G,103810456.0,19163410177600.0,184600.0,KT&G,103810456,생활소비재,3422853200.0,-2802412600.0
2026-06-02,090430,109300.0,-6475.0,-31996.0,아모레퍼시픽,58492759.0,6393258558700.0,109300.0,아모레퍼시픽,58492759,생활소비재,-3497162800.0,-707717500.0
2026-06-02,278470,401000.0,5078.0,-13105.0,에이피알,37438155.0,15012700155000.0,401000.0,에이피알,37438155,생활소비재,-5255105000.0,2036278000.0
2026-06-04,024110,20500.0,-214983.0,355512.0,기업은행,797425869.0,16347230314500.0,20500.0,기업은행,797425869,금융,7287996000.0,-4407151500.0
